Date,sentence,fear,anger,anticip,trust,surprise,sadness,disgust,anticipation,joy,positive,negative,Service Sales
21/09/19,air con our nissan qashqai wasn t cooling fully i was referred vincent by bobby who had replaced my dead battery last month vincent corresponded via whatsapp arrange when drop by his team took look at my car right away unfortunately it wasn t quick fix but he explained what they had diagnosed what needed be done then also spoke with my husband explain answer questions he said they could finish it by next day if i could leave it over night he then offered drive me home since he needed pick up car was going out anyway that went above beyond what i ever expected since i live other side singapore about 25 minute drive away while repairing vincent sent photos kept us updated progress then sent photo once completed showing now cooler air con output displayed thermometer we picked it up he then checked hour later make sure drive home was good everything was working well i definitely recommend vincent his team thank you excellent service personal attention,0,0.032258065,0,0.290322581,0.064516129,0.032258065,0,0.096774194,0.096774194,0.290322581,0.096774194,114466.01
21/09/19,thanks you so much your review ms kathy,0,0,0,0,0,0,0,,0,0,0,
10/10/2019,vincent team are knowledgeable will do things up expectations even exceeded mine today great service you can rely,0,0,0,1,0,0,0,,0,0,0,107960.81
10/10/2019,bro,0,0,0,0,0,0,0,,0,0,0,
12/10/2019,,0,0,0,0,0,0,0,,0,0,0,
12/10/2019,millennium series bro thank u,0,0,0,1,0,0,0,,0,0,0,107960.81
9/11/2019,,0,0,0,0,0,0,0,,0,0,0,
9/11/2019,thank you bro,0,0,0,0,0,0,0,,0,0,0,
16/12/19,excellent workmanship vincent update about car through out process by pictures video opt 3in1 package car smell really nice afterwards,0,0.166666667,0,0.166666667,0,0,0.166666667,,0.166666667,0.166666667,0.166666667,108545.53
16/12/19,powerrr bro,0,0,0,0,0,0,0,,0,0,0,
29/01/20,,0,0,0,0,0,0,0,,0,0,0,
29/01/20,any issues address i only quote u original parts with alignment bro whats with 1 star rating may i know thanks,0.083333333,0.083333333,0,0.083333333,0.083333333,0.083333333,0,0.166666667,0.083333333,0.166666667,0.166666667,102663.47
7/2/2020,,0,0,0,0,0,0,0,,0,0,0,
31/12/20,thank you,0,0,0,0,0,0,0,,0,0,0,
19/02/20,honest sincere very helpful 5 5,0.083333333,0.083333333,0,0.25,0,0.083333333,0.083333333,,0.166666667,0.25,0,79875.36
19/02/20,thank u bro,0,0,0,0,0,0,0,,0,0,0,
19/02/20,,0,0,0,0,0,0,0,,0,0,0,
19/02/20,thank u,0,0,0,0,0,0,0,,0,0,0,
10/6/2020,very prompt his replies texted vincent middle night regarding my concerns my brakes he assured me hell get it done up fixed extremely knowledgeable personally test driven my car immediately knew what could be done make my brakes more efficient without spending more top quality items yet reasonably priced not mention hes super friendly down earth sharing his knowledge with you if only i could rate 10stars above beyond highly recommended,0.045454545,0.045454545,0,0.227272727,0,0.045454545,0.045454545,0.181818182,0.045454545,0.272727273,0.090909091,99116.29
29/07/20,thank u bro,0,0,0,0,0,0,0,,0,0,0,
6/9/2020,long awaited review vincent his team after 1 week driving i came vincent as my there were some problems with my brakes as well as positive reviews sgcarmart vincent was friendly prompt his reply where he set up appointment with me asap fast forward vincent swiftly diagnosed problems that my car was facing instructed his team get with it vincent was swift his update his team even took initiative check other parts car identifying other underlying problems that haven t been fixed by other workshop since i got car all all vincent his team are professional deliver what they promised some might argue that price you pay here is tad higher but it s definitely worth quality knowledge you get vincent his team will definitely be back more upgrades,0,0.04,0,0.4,0,0,0,0.12,0.08,0.32,0.04,100429.62
6/9/2020,awesome bro see u soon your tune up bro,0,0,0,0,0,0,0,,0,0,0,
11/9/2020,great workshop deal with vincent edmund are helpful friendly highly recommended,0,0,0,0.25,0.083333333,0,0,0.166666667,0.25,0.25,0,100429.62
11/9/2020,thank you your valuable review our services bro greatly appreciated,0,0,0,0,0,0,0,,0,1,0,100429.62
17/10/20,,0,0,0,0,0,0,0,,0,0,0,
17/10/20,thank u bro,0,0,0,0,0,0,0,,0,0,0,
19/11/20,communication with vincent was very prompt brought my car down repairs they did fantastic job edmund was very patient answered all my questions he gave lot other helpful car tips unrelated repairs highly recommended,0,0,0,0.285714286,0,0,0,0.142857143,0.142857143,0.428571429,0,111262.41
19/11/20,thank you reviewing our services good day,0,0,0,0.2,0.2,0,0,0.2,0.2,0.2,0,111262.41
26/11/20,,0,0,0,0,0,0,0,,0,0,0,
26/11/20,thank u bro see you tmr,0,0,0,0,0,0,0,,0,0,0,
5/12/2020,,0,0,0,0,0,0,0,,0,0,0,
5/12/2020,powerrrr,0,0,0,0,0,0,0,,0,0,0,
31/12/20,had accident went workshop everything is screw glued front bumper paint mismatch color only found out bumper screws glued after year now want sell also hard dishonest imo ask them what they claim ask them check it is brand new accident repair,0.125,0.0625,0,0.0625,0.125,0.1875,0.0625,,0.0625,0.0625,0.25,135060.34
31/12/20,hi can we have your vehicle registration number check whats been done your vehicle thanks thanks,0,0,0,0,0,0,0,,0,0,0,135060.34
27/03/21,one most trustworthy workshop ive ever been great service vincent edmond,0,0,0,0,0,0,0,,0,0,0,106890.86
26/01/22,thank u so much bro sorry late reply,0,0,0,0,0,0.5,0,,0,0,0.5,
11/4/2021,,0,0,0,0,0,0,0,,0,0,0,
15/04/21,had some issues with my mitsubishi glx front shock absorbers needed replacement causing car rattle like tin can after searching reading positive reviews pro jex v2d i brought car vincent vincent is extremely passionate about what he does is very willing share his knowledge providing tips advices as soon as he test drove car he was able pinpoint all issues just by sound feel ride really impressive his team inspected car detail recommended some changes now my car feels drives like brand new car vincent team thank you your expertise friendly approach focusing building trust your business well done,0.035714286,0.035714286,0,0.285714286,0.035714286,0,0,0.142857143,0.142857143,0.285714286,0.035714286,144447.36
12/12/2021,thank you reviewing our services,0,0,0,0,0,0,0,,0,0,0,
20/04/21,okay this is my honest review vincent after doing e manage i really feel different full dr exhaust mmmm super nice lah srsly sound before tune after tune really big difference e manage after doing it can really feel dig difference also like power increase highly recommended use e manage if you guys want feel real power your car,0.055555556,0.055555556,0,0.277777778,0,0.055555556,0.055555556,,0.055555556,0.388888889,0.055555556,144447.36
26/01/22,thank u so much bro sorry late reply,0,0,0,0,0,0.5,0,,0,0,0.5,
13/05/21,my fav workshop just ask vincent or edmund,0,0,0,0,0,0,0,,0,0,0,
26/01/22,thank u so much bro sorry late reply,0,0,0,0,0,0.5,0,,0,0,0.5,
8/7/2021,just want give special thanks vincent helping me being very honest straight forward after obtaining my first ride had few problems here there but as it was my first car so i did not know what issue was so few my friends recommended me head pro jex experience was excellent while actually doing up some stuff vincent guided me through it told me what stuff does what as im still new all this really would 10 10 recommend any my friends come pro jex if they need any help would be coming here often future ratings definitely,0.0625,0.0625,0,0.1875,0,0.0625,0.0625,0.0625,0.1875,0.3125,0,110507.99
12/12/2021,thank you bro this review our services,0,0,0,0,0,0,0,,0,0,0,
8/8/2021,i got recommended pro jex v2d by friend when my car broke down before i contacted pro jex v2d i had already approached 2 different workshops diagnose issue i was facing with my car but way they handled whole situation left me with very bitter feeling towards workshops but my experience with v2d is breath fresh air vincent was very prompt with his replies my queries was very inviting friendly when i sent my car vincent wasted no time getting my car inspected by his mechanics throughout process vincent was extremely engaging explained me every single factor involving cause issue how it can be rectified he was also transparent with costs walked through with me different servicing packages available industry that is out there squeeze every bit money out unsuspecting victim vincent establishes himself as trustworthy reliable will definitely send my car again v2d all its maintenance servicing with peace mind thanks vincent team at pro jex v2d,0.058823529,0.078431373,0,0.196078431,0.078431373,0.058823529,0.039215686,0.117647059,0.137254902,0.156862745,0.078431373,103804.97
12/12/2021,thank you so much bro sorry late reply,0,0,0,0,0,0.5,0,,0,0,0.5,
8/8/2021,great service by vincent,0,0,0,0,0,0,0,,0,0,0,
26/01/22,thank u so much bro sorry late reply,0,0,0,0,0,0.5,0,,0,0,0.5,
8/8/2021,,0,0,0,0,0,0,0,,0,0,0,
12/12/2021,was recommanded by my brother about shop when i got into accident first thing i called edmund told him i was involved ab accident he quickly react situation upon reaching his workshop he explain everything details after 10 days my car is back my hand i can tell you it feels so different its just like driving new car thanks edmund team handling my black beauty recommanded workshop,0.157894737,0.052631579,0,0.157894737,0.105263158,0.157894737,0,,0.052631579,0.157894737,0.157894737,114346.92
12/12/2021,thank u so much your valuable review,0,0,0,0,0,0,0,,0,1,0,
26/01/22,found workshop online do repair works my hyundai sonata as i urgently needed my car back work manager really helped expedite repairs also helped do complete check my car condition they know what theyre doing id definitely go back,0,0,0,0.25,0,0,0,,0.25,0.5,0,99541.73
26/01/22,thank you so much entrusting your ride us bro,0,0,0,0,0,0,0,,0,0,0,
29/01/22,first foremost would like thanks vincent n team wonderful awesome workmanship rectifying problem my car been few workshop but as usual some workshop can t find solution but instead trying change these that recommended by one my friend project v2d mr vincent or i can call him doctor japanese car manage solve problems it i glad surprise that not only he found solution my car but advised me such things install uninstalled awesome job knce again vincent his team well recommended workshop guys assure you wont be disappointed if you are into japanese car type this is place where you mod your car,0.075,0.025,0,0.25,0.05,0.05,0.025,0.075,0.125,0.275,0.05,99541.73
29/01/22,thank u so much bro safe holidays,0,0,0,0.333333333,0,0,0,,0.333333333,0.333333333,0,99541.73
29/01/22,excellent work done by vincent his team making impossibles possible my car team have great patience give their customers most honest opinions vincent his team make their customers no strangers treats everyone equally thumbs up,0.058823529,0.058823529,0,0.352941176,0,0.058823529,0.058823529,0.058823529,0.117647059,0.235294118,0,99541.73
29/01/22,thank u so much bro,0,0,0,0,0,0,0,,0,0,0,
30/01/22,amazing shop went there fix sound that no shops was able find months they were able fix it within day even though it took whole day but they still get it done despite their busy schedule boss vincent is really nice guy i really appreciate hospitality service his workshop provided mechanic even told me along way what they are doing car made sure everything went smoothly i am very happy with result i will definitely recommend people go this place if they have problem i myself will still go back because they have earned my trust with their fast efficient work once again thank you vincent,0.066666667,0,0,0.266666667,0,0.066666667,0,0.2,0.066666667,0.266666667,0.066666667,99541.73
30/01/22,thank you your time review our services bro,0,0,0,0,0,0,0,1,0,0,0,
18/03/22,,0,0,0,0,0,0,0,,0,0,0,
19/03/22,thank u reviewing our services,0,0,0,0,0,0,0,,0,0,0,
8/4/2022,,0,0,0,0,0,0,0,,0,0,0,
8/1/2022,thank u reviewing our services,0,0,0,0,0,0,0,,0,0,0,
20/04/22,con workshop won t even bother troubleshoot problem properly will ask you change this that go circles rectify problem price is killer,0.333333333,0,0,0,0,0.222222222,0,,0,0.111111111,0.333333333,99573.93
20/04/22,hello can we have your car plate verify this review thanks pricing is quoted approval before task is carried out trouble shooting car issues might not be one time off solution some times its more complex thank you your valuable review hope hear u soon we will try our best clarify solve it,0.071428571,0.071428571,0,0.071428571,0.071428571,0,0,0.142857143,0.071428571,0.428571429,0.071428571,99573.93
21/08/22,recommended by acquaintance made own research this workshop before subsequently had vehicle towed there it had loss power while journey together went thru with one mechanics alvin after explaining event prepares vehicle diagnostic test figure out faults test run 1 diagnostic test could not read ecu engine however other sensors had no issue long story short took them approximately 2 weeks with no progress mechanics couldnt break thru diagnostic dilemma i was not updated progress after day two onwards surrender they had no idea how what do i was not being notified at least mechanic was honest concerns 1 should clarify earlier when they werent unable pinpoint troubleshoot successfully vehicle 2 items vehicle had gone missing 3 covers interior were not put back proper conclusion had it towed elsewhere update vehicle was fixed within 3 working days lesson learned fortunately i had 2 years automotive learning this came handy as i was able understand situation this workshop was 2nd workshop initial workshop situated at soon lee tried con scam me that work be done vehicle was numerous claimed after diagnostic test costs is estimated be around 3k,0.11627907,0.046511628,0,0.093023256,0.023255814,0.11627907,0.046511628,0.11627907,0.093023256,0.255813953,0.093023256,118920.25
30/08/22,went pro jex v2d 27th aug had chance meet up with vincent spoke about cold start loud engine sound vincent offered drive car confirm fault at same time provide indepth explanation vincent was professional honest his feedback no hard selling done which i appreciate end product car was smooth feels like brand new car no more loud engine noise thanks sincerety honesty professionalism well done workshop that can be trusted,0.047619048,0.047619048,0,0.19047619,0.047619048,0.095238095,0.047619048,0.095238095,0.047619048,0.19047619,0.19047619,
30/08/22,thank u so much reviewing our services bro,0,0,0,0,0,0,0,,0,0,0,
13/09/22,,0,0,0,0,0,0,0,,0,0,0,
13/09/22,thank you reviewing our services,0,0,0,0,0,0,0,,0,0,0,
22/10/22,,0,0,0,0,0,0,0,,0,0,0,
22/10/22,thanks your valuable review bro,0,0,0,0,0,0,0,,0,1,0,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
